State,Constituency,Candidate,Party,Votes
,,,,
MP,ALIRAJPUR,MUKESH RAWAT (PATEL),Indian National Congress,82017
,,,,
MP,ALIRAJPUR,CHOUHAN NAGAR SINGH,Bharatiya Janata Party,60055
,,,,
MP,ALIRAJPUR,JALM SINGH PATEL,Independent,4680
,,,,
MP,ALIRAJPUR,BHADIYA  DAWAR,Bahujan Samaj Party,2687
,,,,
MP,ALIRAJPUR,SHAMSHER SINGH CHOUHAN (PATEL),Independent,1654
,,,,
MP,ALIRAJPUR,None of the Above,None of the Above,4843
,,,,
MP,ALOTE,MANOJ CHAWLA,Indian National Congress,80821
,,,,
MP,ALOTE,JITENDRA THAWARCHAND GEHLOT,Bharatiya Janata Party,75373
,,,,
MP,ALOTE,MUKESH PANCHOLA TAL,Bahujan Sangharshh Dal,1687
,,,,
MP,ALOTE,ADVOCATE VINOD KATARIYA,Bahujan Samaj Party,1565
,,,,
MP,ALOTE,SUNIL KALYANE,Shiv Sena,1174
,,,,
MP,ALOTE,PURNIMA CHOUHAN,Aam Aadmi Party,485
,,,,
MP,ALOTE,None of the Above,None of the Above,2450
,,,,
MP,AMARPATAN,RAMKHELAWAN PATEL,Bharatiya Janata Party,59836
,,,,
MP,AMARPATAN,"DR. RAJENDRA KUMAR SINGH ""DADA BHAI""",Indian National Congress,56089
,,,,
MP,AMARPATAN,CHHANGELAL KOL,Bahujan Samaj Party,37918
,,,,
MP,AMARPATAN,OM PRAKASH GAUTAM,Independent,1908
,,,,
MP,AMARPATAN,RAJIV LOCHAN TIWARI,Independent,1625
,,,,
MP,AMARPATAN,AMIT KUMAR TIWARI,Samajwadi Party,1495
,,,,
MP,AMARPATAN,COM. RAJDHANI SINGH,Communist Party of India,1427
,,,,
MP,AMARPATAN,JITENDRA CHAURASIYA,Aam Aadmi Party,899
,,,,
MP,AMARPATAN,MO. HABEB,Apna Dal (Soneylal),794
,,,,
MP,AMARPATAN,DR. SANTOSH KUMAR GUPTA,Gondvana Gantantra Party,750
,,,,
MP,AMARPATAN,ER. VIRENDRA KUMAR PATEL,Independent,612
,,,,
MP,AMARPATAN,SHIVKUMAR TRIPATHI,Bharatiya Jan Morcha Party,487
,,,,
MP,AMARPATAN,"""'YOGI' PRADEEP TIWARI AD.""",Sapaks Party,397
,,,,
MP,AMARPATAN,DINESH KEWAT (MANJHI),Rashtriya mahan Gantantra Party,376
,,,,
MP,AMARPATAN,DADHIBAL PRASAD PATEL,Akhil Bhartiya Apna Dal,261
,,,,
MP,AMARPATAN,None of the Above,None of the Above,2380
,,,,
MP,AMARWARA,KAMLESH PRATAP SHAH,Indian National Congress,71662
,,,,
MP,AMARWARA,MANMOHAN SHAH BATTI,Gondvana Gantantra Party,61269
,,,,
MP,AMARWARA,PREMNARAYAN THAKUR,Bharatiya Janata Party,53499
,,,,
MP,AMARWARA,KALLULAL UIKEY,Independent,3408
,,,,
MP,AMARWARA,VINITA AMODIYA,Independent,2294
,,,,
MP,AMARWARA,SUMRAN UIKEY,Bahujan Samaj Party,2099
,,,,
MP,AMARWARA,GALIRAM BADIVA,Independent,1529
,,,,
MP,AMARWARA,None of the Above,None of the Above,5910
,,,,
MP,AMBAH ,KAMLESH JATAV,Indian National Congress,37343
,,,,
MP,AMBAH ,NEHA KINNAR,Independent,29796
,,,,
MP,AMBAH ,GABBAR SAKHWAR,Bharatiya Janata Party,29715
,,,,
MP,AMBAH ,SATYAPRAKASH SAKHAWAR [ADVOCATE],Bahujan Samaj Party,22179
,,,,
MP,AMBAH ,VIJAY KUMAR CHHARI,Independent,1042
,,,,
MP,AMBAH ,GAJENDAR SINGH,Independent,784
,,,,
MP,AMBAH ,SITA DEVI,Independent,687
,,,,
MP,AMBAH ,SEEMA KATHERIYA,Rashtriya Rakshak Morcha,601
,,,,
MP,AMBAH ,RAJKUMAR SHAKHAWAR,Hind Congress Party,463
,,,,
MP,AMBAH ,RAKESH KUMAR GOUR,Independent,375
,,,,
MP,AMBAH ,SUNEEL KUMAR MAHOR,Aam Aadmi Party,359
,,,,
MP,AMBAH ,RAKESH NAGAR,Bhartiya Panchyat Party,317
,,,,
MP,AMBAH ,None of the Above,None of the Above,1255
,,,,
MP,AMLA,DR. YOGESH PANDAGRE,Bharatiya Janata Party,73481
,,,,
MP,AMLA,MANOJ MALVE,Indian National Congress,54284
,,,,
MP,AMLA,RAKESH MAHALE (ADV),Gondvana Gantantra Party,15827
,,,,
MP,AMLA,PRABHU MASTAKAR,Bahujan Samaj Party,2916
,,,,
MP,AMLA,MANOJ DEHARIYA,Independent,2391
,,,,
MP,AMLA,DR. SURESH BHUMARKAR,Aam Aadmi Party,1454
,,,,
MP,AMLA,SADARAM JHARBADE,Independent,1444
,,,,
MP,AMLA,SANTOSH KAROSIYA,Independent,1404
,,,,
MP,AMLA,MANOJ BIHARE,Independent,1067
,,,,
MP,AMLA,NAMDEO URFE AAKASH BINJHARE,Independent,448
,,,,
MP,AMLA,SANDEEP MANKAR,Republican Party of India (A),443
,,,,
MP,AMLA,PANJABRAO SOLANKI,Independent,421
,,,,
MP,AMLA,AAKESH MOHABE,Independent,324
,,,,
MP,AMLA,None of the Above,None of the Above,3081
,,,,
MP,ANUPPUR,BISAHULAL SINGH,Indian National Congress,62770
,,,,
MP,ANUPPUR,RAMLAL RAUTEL,Bharatiya Janata Party,51209
,,,,
MP,ANUPPUR,BESAHU LAL RAUTEL,Sapaks Party,2274
,,,,
MP,ANUPPUR,BIRENDRA SINGH MARAVI,Gondvana Gantantra Party,1721
,,,,
