DHANENDRA SAHU,Abhanpur,Indian National Congress,76761

CHANDRASHEKHAR SAHU - CHAMPU BHAIYYA,Abhanpur,Bharatiya Janata Party,53290

DAYARAM NISHAD,Abhanpur,Janta Congress Chhattisgarh (J),21324

BRAMHANAND SAHU,Abhanpur,Independent,2249

SHWETA RAKESH SAHU,Abhanpur,Independent,2040

TIKENDRA SINGH THAKUR,Abhanpur,Nationalist Congress Party,1242

SHAKUNTALA MANDLE,Abhanpur,Independent,962

SANJAY RAI,Abhanpur,Aam Aadmi Party,695

SAVITRI PAL,Abhanpur,Independent,582

BHUNESHWAR,Abhanpur,Independent,479

TEKESHWAR CHATURVEDI,Abhanpur,Independent,244

DEEPAK KUMAR NAVRANGE,Abhanpur,Independent,182

None of the Above,Abhanpur,None of the Above,3005

GURU RUDRA KUMAR,Ahiwara,Indian National Congress,88735

RAJMAHANT SANWLA RAM DAHRE,Ahiwara,Bharatiya Janata Party,57048

DR.SHOBHA RAM BANJARE,Ahiwara,Bahujan Samaj Party,5844

RAM KUMAR SURVANSHI,Ahiwara,Independent,1513

AJAY RAMTEKE,Ahiwara,Aam Aadmi Party,1178

RAMBAGAS BHARTI,Ahiwara,Independent,705

PADMA PATIL,Ahiwara,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),673

MANOJ KUMAR LAHARE,Ahiwara,Ambedkarite Party of India,638

GAIND LAL RAI,Ahiwara,Independent,595

NANDKUMAR MAHILANG,Ahiwara,Independent,507

ADVOCATE SHAILENDRA KUMAR BANJARE (SHAKTI PUTRA),Ahiwara,Shakti Sena (Bharat Desh),266

None of the Above,Ahiwara,None of the Above,3681

SAURABH SINGH,Akaltara,Bharatiya Janata Party,60502

RICHA JOGI,Akaltara,Bahujan Samaj Party,58648

CHUNNILAL SAHU,Akaltara,Indian National Congress,27667

BADRI PRASAD OGREY,Akaltara,Independent,971

CHANDRAHAS DEWANGAN,Akaltara,Aam Aadmi Party,958

PUSHPENDRA KUMAR JAISWAL,Akaltara,Nationalist Congress Party,746

SHIV KUMAR VISHWKARMA,Akaltara,Independent,682

RKS (RAM KUMAR SHRIWAS),Akaltara,Independent,552

RAJESH KUMAR BANJARE,Akaltara,Ambedkarite Party of India,483

JAGMOHAN PATLEY,Akaltara,Independent,481

DILESHWAR SAHU,Akaltara,National Democratic Peoples Front,345

SANJAY PRAKASH SAHU,Akaltara,Bhartiya Kisan Party,323

AMIR SINGH,Akaltara,Independent,308

JIWAN LAL YADAW,Akaltara,Samajwadi Party,301

DILESHWAR VISHWAKARMA,Akaltara,Shiv Sena,287

None of the Above,Akaltara,None of the Above,2242

T.S. BABA,Ambikapur,Indian National Congress,100439

ANURAG SINGH DEO,Ambikapur,Bharatiya Janata Party,60815

GOPAL PRASAD GUPTA,Ambikapur,Gondvana Gantantra Party,4459

TARUN KUMAR BHAGAT,Ambikapur,Independent,2173

KRANTI KUMAR RAWAT,Ambikapur,Independent,2103

SITA RAM DAS,Ambikapur,Bahujan Samaj Party,1322

T S SINGH (BABA),Ambikapur,Independent,1075

PARASNATH RAJWADE,Ambikapur,Independent,981

KRISHNA NANDAN SINGH,Ambikapur,Independent,592

ARVIND KACHCHHAP,Ambikapur,Bahujan Mukti Party,507

SAKET TRIPATHI,Ambikapur,Aam Aadmi Party,424

TRIBHUVAN KUMAR,Ambikapur,Ambedkarite Party of India,360

MUSKAN RAJAK,Ambikapur,Independent,358

JHAMKESHWAR PAIKRA,Ambikapur,Chhattisgarh Swabhiman Manch,334

KAMAL KUMAR KASHYAP,Ambikapur,Independent,327

ALIMUDDIN QUADARI,Ambikapur,Independent,319

VIJAY TIWARI,Ambikapur,Independent,307

SATENDRA KUMAR SINGH,Ambikapur,Independent,288

SHARAD TRIPATHI,Ambikapur,Shiv Sena,284

SUJAN BIND,Ambikapur,Rashtriya mahan Gantantra Party,258

T.S.SINGH (BABA),Ambikapur,Janata Congress,254

VIJAY KUMAR PAIKRA,Ambikapur,Independent,161

None of the Above,Ambikapur,None of the Above,609

ANOOP NAG,Antagarh,Indian National Congress,57061

VIKRAM USENDI,Antagarh,Bharatiya Janata Party,43647

SUKHRANJAN USENDI URAF SILEDAR,Antagarh,Independent,4854

SANTRAM SARPHE (SALAM),Antagarh,Aam Aadmi Party,3981

HEMANT POYAM,Antagarh,Bahujan Samaj Party,1243

RUPDHAR PUDO,Antagarh,Ambedkarite Party of India,1085

LAXMAN SINGH KOMRA,Antagarh,Independent,922

NEHRU RAM KOMRA,Antagarh,Independent,683

SUNITA DHURVE MANDAL,Antagarh,Bhartiya Panchyat Party,663

PARVAR SINGH KOMRA,Antagarh,Gondvana Gantantra Party,607

BIRENDRA PARTE,Antagarh,Shiv Sena,484

None of the Above,Antagarh,None of the Above,4831

DR. SHIVKUMAR DAHARIYA,Arang,Indian National Congress,69900

SANJAY DHIDHI,Arang,Bharatiya Janata Party,44823

SANJAY CHELAK,Arang,Janta Congress Chhattisgarh (J),27903

SHARDA BANJARE,Arang,Independent,3042

NARAYAN PRASAD TANDAN,Arang,Independent,1528

DAGESHVAR BHARTI,Arang,Aam Aadmi Party,1423

SANTOSH KUMAR DAHARIYA,Arang,Shiv Sena,1112

SANJAY KUMAR KOSARIYA,Arang,Chhattisgarh Vikas  Party,1053

