,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
0,166,AGAR ,VIPIN WANKHEDE,Indian National Congress,2490,28859,MANOHAR OONTWAL,Bharatiya Janata Party,Madhya Pradesh,MANOHAR UNTWAL,Bharatiya Janata Party
1,191,ALIRAJPUR,CHOUHAN NAGAR SINGH,Bharatiya Janata Party,21962,17369,CHOUHAN NAGARSINGH,Bharatiya Janata Party,Madhya Pradesh,MUKESH RAWAT (PATEL),Indian National Congress
2,223,ALOTE,JITENDRA THAWARCHAND GEHLOT,Bharatiya Janata Party,5448,7973,JITENDRA THAVARCHAND GEHLOT,Bharatiya Janata Party,Madhya Pradesh,MANOJ CHAWLA,Indian National Congress
3,66,AMARPATAN,"DR. RAJENDRA KUMAR SINGH ""DADA BHAI""",Indian National Congress,3747,11739,RAJENDRA KUMAR SINGH DADABHAI,Indian National Congress,Madhya Pradesh,RAMKHELAWAN PATEL,Bharatiya Janata Party
4,123,AMARWARA,MANMOHAN SHAH BATTI,Gondvana Gantantra Party,10393,4063,KAMLESH   SHAH,Indian National Congress,Madhya Pradesh,KAMLESH PRATAP SHAH,Indian National Congress
5,8,AMBAH ,NEHA KINNAR,Independent,7547,11288,SATYAPRAKASH,Bahujan Samaj Party,Madhya Pradesh,KAMLESH JATAV,Indian National Congress
6,130,AMLA,MANOJ MALVE,Indian National Congress,19197,39602,CHAITRAM MANEKAR,Bharatiya Janata Party,Madhya Pradesh,DR. YOGESH PANDAGRE,Bharatiya Janata Party
7,87,ANUPPUR,RAMLAL RAUTEL,Bharatiya Janata Party,11561,11745,RAMLAL RAUTEL,Bharatiya Janata Party,Madhya Pradesh,BISAHULAL SINGH,Indian National Congress
8,32,ASHOK NAGAR ,ER. LADDURAM KORI,Bharatiya Janata Party,9730,3348,GOPILAL JATAV,Bharatiya Janata Party,Madhya Pradesh,"JAJPAL SINGH ""JAJJI""",Indian National Congress
9,157,ASHTA ,GOPAL SINGH ENGINEER,Indian National Congress,6044,5504,RANJEET SINGH GUNWAN,Bharatiya Janata Party,Madhya Pradesh,RAGHUNATH SINGH MALVIYA,Bharatiya Janata Party
10,9,ATER ,HEMANT SATYADEV KATARE,Indian National Congress,4978,11426,SATYADEV KATARE,Indian National Congress,Madhya Pradesh,ARVIND SINGH BHADORIA,Bharatiya Janata Party
11,218,BADNAGAR,SANJAY SHARMA,Bharatiya Janata Party,5381,13135,MUKESH PANDYA,Bharatiya Janata Party,Madhya Pradesh,MURLI MORWAL,Indian National Congress
12,202,BADNAWAR,BHANWARSINGH SHEKHAWAT,Bharatiya Janata Party,41506,9812,BHANVARSINGH SHEKHAWAT,Bharatiya Janata Party,Madhya Pradesh,RAJVARDHAN SINGH - PREMSINGH DATTIGAW,Indian National Congress
13,182,BADWAHA,HITENDRASINGH SOLANKI,Bharatiya Janata Party,30508,5630,HITENDRA SINH DHYAN SINH SOLANKI,Bharatiya Janata Party,Madhya Pradesh,SACHIN BIRLA,Indian National Congress
14,91,BADWARA,MOTI KASHYAP,Bharatiya Janata Party,21360,3287,MOTI KASHYAP,Bharatiya Janata Party,Madhya Pradesh,VIJAYRAGHVENDRA SINGH (BASANT SINGH),Indian National Congress
15,174,BAGLI,KAMAL WASKALE,Indian National Congress,11843,25332,CHAMPALAL DEVDA,Bharatiya Janata Party,Madhya Pradesh,KANNOJE PAHADSINGH,Bharatiya Janata Party
16,94,BAHORIBAND,KUNWAR SAURABH SINGH,Indian National Congress,16435,20918,PRABHAT PANDEY (BADE BABBU),Bharatiya Janata Party,Madhya Pradesh,PRANAY PRABHAT PANDEY (GUDDU BHAIYA),Bharatiya Janata Party
17,108,BAIHAR ,ANUPAMA NETAM,Bharatiya Janata Party,16480,32352,SANJAY UIEKE,Indian National Congress,Madhya Pradesh,SANJAY UIKEY,Indian National Congress
18,111,BALAGHAT ,ANUBHA MUNJARE,Samajwadi Party,27654,2500,GOURISHANKAR CHATURBHUJ BISEN,Bharatiya Janata Party,Madhya Pradesh,GAURISHANKER CHATURBHUJ BISEN,Bharatiya Janata Party
19,28,BAMORI ,"BRIJMOHAN SINGH ""AZAD""",Bharatiya Janata Party,27920,18561,MAHENDRA SINGH SISODIA (SANJU BHAIYA),Indian National Congress,Madhya Pradesh,MAHENDRA SINGH SISODIYA (SANJU BHAIYA),Indian National Congress
20,42,BANDA ,HARVANSH SINGH RATHORE (SUKKU BHAIYA),Bharatiya Janata Party,24164,17880,HARVANSH (SUKKU BHAIYA),Bharatiya Janata Party,Madhya Pradesh,TARBAR SINGH (BANTU BHAIYA),Indian National Congress
21,89,BANDHAVGARH,DHYAN SINGH,Indian National Congress,3903,18645,GYAN SINGH,Bharatiya Janata Party,Madhya Pradesh,SHIVNARAYAN SINGH (LALLU BHAIYA),Bharatiya Janata Party
22,114,BARGHAT,NARESH WARKADE,Bharatiya Janata Party,7527,269,KAMAL MARSKOLE,Bharatiya Janata Party,Madhya Pradesh,"""ARJUN SINGH""",Indian National Congress
23,96,BARGI,PRATIBHA SINGH,Bharatiya Janata Party,17563,7399,PRATIBHA SINGH,Bharatiya Janata Party,Madhya Pradesh,"SANJAY YADAV ""SEONI TOLA""",Indian National Congress
24,190,BARWANI (S.T.),RAJAN MANDLOI,Independent,38787,10527,RAMESH PATEL,Indian National Congress,Madhya Pradesh,PREMSINGH PATEL,Bharatiya Janata Party
25,145,BASODA,NISHANK KUMAR JAIN,Indian National Congress,10226,16159,NISHANK,Indian National Congress,Madhya Pradesh,"LEENA SANJAY JAIN ""TAPPU""",Bharatiya Janata Party
26,83,BEOHARI,TEJ PRATAP SINGH UIKEY,Gondvana Gantantra Party,32450,17342,RAM PAL SINGH,Indian National Congress,Madhya Pradesh,KOL SARAD JUGLAL,Bharatiya Janata Party
27,149,BERASIA,JAYSHREE HARIKARAN,Indian National Congress,13779,29304,VISHNU KHATRI,Bharatiya Janata Party,Madhya Pradesh,VISHNU KHATRI,Bharatiya Janata Party
28,131,BETUL,HEMANT VIJAY KHANDELWAL,Bharatiya Janata Party,21645,24347,HEMANT VIJAY KHANDELWAL,Bharatiya Janata Party,Madhya Pradesh,NILAY VINOD DAGA,Indian National Congress
29,186,BHAGWANPURA,JAMNASINGH SOLANKI,Bharatiya Janata Party,9716,1820,VIJAY SINGH,Indian National Congress,Madhya Pradesh,KEDAR CHIDABHAI DAWAR,Independent
30,133,BHAINSDEHI,MAHENDRA SINGH CHOUHAN,Bharatiya Janata Party,30880,13276,MAHENDRA  KESHARSINGH CHOUHAN,Bharatiya Janata Party,Madhya Pradesh,DHARMU SINGH SIRSAM,Indian National Congress
31,21,BHANDER ,RAJNI PRAJAPATI,Bharatiya Janata Party,39896,7651,GHANSHYAM PIRONIYA,Bharatiya Janata Party,Madhya Pradesh,RAKSHA SANTRAM SARONIYA,Indian National Congress
32,181,BHIKANGAON,DHOOL SINGH DAWAR,Bharatiya Janata Party,27257,2399,JHUMA SOLANKI,Indian National Congress,Madhya Pradesh,JHUMA DR. DHYANSINGH SOLANKI,Indian National Congress
33,10,BHIND ,CHAUDHARY RAKESH SINGH CHATURVEDI,Bharatiya Janata Party,35896,5993,NARENDRA SINGH KUSHWAH,Bharatiya Janata Party,Madhya Pradesh,SANJEEV SINGH (SANJU),Bahujan Samaj Party
34,18,BHITARWAR,ANOOP MISHRA,Bharatiya Janata Party,12130,6548,LAKHAN SINGH YADAV,Indian National Congress,Madhya Pradesh,LAKHAN SINGH YADAV,Indian National Congress
35,141,BHOJPUR,SURESH PACHOURI,Indian National Congress,29486,20149,SURENDRA PATWA,Bharatiya Janata Party,Madhya Pradesh,SURENDRA PATWA,Bharatiya Janata Party
36,152,BHOPAL DAKSHINA-PASHCHIM ,UMASHANKAR GUPTA,Bharatiya Janata Party,6587,18198,UMASHANKAR GUPTA,Bharatiya Janata Party,Madhya Pradesh,P.C.SHARMA,Indian National Congress
37,153,BHOPAL MADHYA,SURENDRA NATH SINGH (MAMMA),Bharatiya Janata Party,14757,6981,SURENDRA NATH SINGH,Bharatiya Janata Party,Madhya Pradesh,ARIF MASOOD,Indian National Congress
38,150,BHOPAL UTTAR ,FATIMA RASOOL SIDDIQUI (GUDIYA),Bharatiya Janata Party,34857,6664,ARIF  AQUEEL,Indian National Congress,Madhya Pradesh,ARIF AQUEEL,Indian National Congress
39,161,BIAORA,NARAYAN SINGH PANWAR,Bharatiya Janata Party,826,3088,NARAYAN SINGH PANWAR,Bharatiya Janata Party,Madhya Pradesh,GOVARDHAN DANGI,Indian National Congress
40,105,BICHHIYA ,"DR. SHIVRAJ SHAH ""SHIVA BHAIYA""",Bharatiya Janata Party,21388,18316,PANDIT SINGH DHURWEY,Bharatiya Janata Party,Madhya Pradesh,NARAYAN SINGH PATTA,Indian National Congress
41,52,BIJAWAR,GUDDAN BHAIYA PUSHPENDRA NATH PATHAK,Bharatiya Janata Party,36714,10379,GUDDAN PATHAK (PUSHPENDRA  NATH),Bharatiya Janata Party,Madhya Pradesh,RAJESH KUMAR (BABLU BHAIYA),Samajwadi Party
42,35,BINA,SHASHI KATHORIA,Indian National Congress,632,18769,MAHESH RAI,Bharatiya Janata Party,Madhya Pradesh,MAHESH RAI,Bharatiya Janata Party
43,156,BUDHNI,ARUN SUBHASHCHANDRA,Indian National Congress,58999,84805,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,Madhya Pradesh,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party
44,180,BURHANPUR,ARCHANA DIDI,Bharatiya Janata Party,5120,22827,ARCHNA CHITNIS DIDI,Bharatiya Janata Party,Madhya Pradesh,"THAKUR SURENDRA SINGH NAVAL SINGH ""SHERA BHAIYA""",Independent
45,30,CHACHODA,MAMTA  MEENA,Bharatiya Janata Party,9797,34901,MAMTA  MEENA,Bharatiya Janata Party,Madhya Pradesh,LAKSHMAN SINGH,Indian National Congress
46,33,CHANDERI,BHUPENDRA DWIVEDI,Bharatiya Janata Party,4175,30318,GOPAL SINGH CHAUHAN DAGGI RAJA,Indian National Congress,Madhya Pradesh,GOPAL SINGH CHAUHAN (DAGGI RAJA),Indian National Congress
47,49,CHANDLA,ANURAGI HARPRASAD (GOPI MASTER),Indian National Congress,1177,37397,R D PRAJAPATI,Bharatiya Janata Party,Madhya Pradesh,RAJESH KUMAR PRAJAPATI,Bharatiya Janata Party
48,51,CHHATARPUR,ARCHNA GUDDU SINGH,Bharatiya Janata Party,3495,2217,LALITA YADAV,Bharatiya Janata Party,Madhya Pradesh,ALOK CHATURVEDI (PAJJAN BHAIYA),Indian National Congress
49,126,CHHINDWARA,CHOUDHARY CHANDRABHAN SINGH KUBER SINGH,Bharatiya Janata Party,14547,24778,CHOUDHARY CHANDRABHANSINGH KUBERSINGH,Bharatiya Janata Party,Madhya Pradesh,DEEPAK SAXENA,Indian National Congress
50,61,CHITRAKOOT,SURENDRA SINGH GAHARWAR,Bharatiya Janata Party,10198,10970,PREM SINGH,Indian National Congress,Madhya Pradesh,NEELANSHU CHATURVEDI,Indian National Congress
51,79,CHITRANGI ,SARASWATI SINGH,Indian National Congress,59248,9845,SARASWATI SINGH,Indian National Congress,Madhya Pradesh,AMAR SINGH,Bharatiya Janata Party
52,124,CHOURAI,PT. RAMESH DUBEY,Bharatiya Janata Party,13004,13631,PT. RAMESH DUDEY,Bharatiya Janata Party,Madhya Pradesh,CHOUDHARY SUJEET MER SINGH,Indian National Congress
53,76,CHURHAT,AJAY ARJUN SINGH,Indian National Congress,6402,19356,AJAY ARJUN SINGH,Indian National Congress,Madhya Pradesh,SHARADENDU TIWARI,Bharatiya Janata Party
54,19,DABARA ,KAPTAN SINGH SEHSARI,Bharatiya Janata Party,57446,33278,IMARTI  DEVI,Indian National Congress,Madhya Pradesh,IMARTI DEVI,Indian National Congress
55,55,DAMOH ,JAYANT MALAIYA,Bharatiya Janata Party,798,4953,JAYANT MALAIYA,Bharatiya Janata Party,Madhya Pradesh,RAHUL SINGH,Indian National Congress
56,22,DATIA,BHARTI RAJENDRA,Indian National Congress,2656,12081,DR. NAROTTAM MISHRA,Bharatiya Janata Party,Madhya Pradesh,DR.NAROTTAM MISHRA,Bharatiya Janata Party
57,38,DEORI,TEJI SINGH RAJPOOT,Bharatiya Janata Party,4304,22080,HARSH YADAV,Indian National Congress,Madhya Pradesh,HARSH YADAV,Indian National Congress
58,72,DEOTALAB,SEEMA JAIVEER SINGH SENGAR,Bahujan Samaj Party,1080,3885,GIRISH GAUTAM,Bharatiya Janata Party,Madhya Pradesh,GIRISH GAUTAM,Bharatiya Janata Party
59,203,DEPALPUR ,MANOJ NIRBHAYSINGH PATEL,Bharatiya Janata Party,9044,30197,MANOJ NIRBHAYSINGH PATEL,Bharatiya Janata Party,Madhya Pradesh,VISHAL JAGDISH PATEL,Indian National Congress
60,81,DEVSAR ,BANSHMANI PRASAD VERMA,Indian National Congress,10678,33214,RAJENDRA MESHRAM,Bharatiya Janata Party,Madhya Pradesh,SUBHASH RAM CHARITRA,Bharatiya Janata Party
