,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
0,53,Adarsh Nagar,ASHOK PARNAMI,Bharatiya Janata Party,12553,3803,ASHOK PARNAMI,Bharatiya Janata Party,Rajasthan,RAFEEK KHAN,Indian National Congress
1,141,Ahore,SAVARAM PATEL,Indian National Congress,31048,9152,SHANKAR SINGH RAJPUROHIT,Bharatiya Janata Party,Rajasthan,CHHAGANSINGH,Bharatiya Janata Party
2,100,Ajmer North,MAHENDRA SINGH RALAWATA,Indian National Congress,8630,20479,VASUDEV DEVNANI,Bharatiya Janata Party,Rajasthan,VASUDEV DEVNANI,Bharatiya Janata Party
3,101,Ajmer South,HEMANT BHATI,Indian National Congress,5700,23158,ANITA BHADEL,Bharatiya Janata Party,Rajasthan,ANITA BHADEL,Bharatiya Janata Party
4,65,Alwar Rural,MASTER RAMKISHAN,Bharatiya Janata Party,26477,26799,JAIRAM JATAV,Bharatiya Janata Party,Rajasthan,TIKA RAM JULLY,Indian National Congress
5,66,Alwar Urban,SHWETA SAINI,Indian National Congress,22008,62229,BANWARI LAL SINGHAL,Bharatiya Janata Party,Rajasthan,SANJAY SHARMA,Bharatiya Janata Party
6,47,Amber,PRASHANT SHARMA,Indian National Congress,13276,329,NAVIN PILANIA,National People’s Party,Rajasthan,SATISH POONIA,Bharatiya Janata Party
7,193,Anta,PRABHU LAL SAINI,Bharatiya Janata Party,34063,3399,PRABHU LAL SAINI,Bharatiya Janata Party,Rajasthan,PRAMOD BHAYA,Indian National Congress
8,6,Anupgarh    ,KULDEEP INDORA,Indian National Congress,21124,11146,SHIMLA BAWRI,Bharatiya Janata Party,Rajasthan,SANTOSH,Bharatiya Janata Party
9,177,Asind,MANISH MEWARA,Indian National Congress,154,27309,RAM LAL GURJAR,Bharatiya Janata Party,Rajasthan,JABBAR SINGH SANKHALA,Bharatiya Janata Party
10,159,Aspur ,UMESH,Bhartiya Tribal Party,5330,10504,GOPI CHAND MEENA,Bharatiya Janata Party,Rajasthan,GOPICHAND MEENA,Bharatiya Janata Party
