,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
0,82,Achampet ,CHIKKUDU VAMSHIKRISHNA,Indian National Congress,9114,0,,,Telangana,GUVVALA BALARAJU,Telangana Rashtra Samithi
1,7,Adilabad,PAYAL SHANKER,Bharatiya Janata Party,26606,0,,,Telangana,JOGU RAMANNA,Telangana Rashtra Samithi
2,97,Alair,BUDIDA BIKSHAMAIAH,Indian National Congress,33086,0,,,Telangana,GONGIDI SUNEETHA,Telangana Rashtra Samithi
3,80,Alampur ,S.A.SAMPATH KUMAR,Indian National Congress,44679,0,,,Telangana,ABRAHAM V.M.,Telangana Rashtra Samithi
4,59,Amberpet  ,G.KISHAN REDDY,Bharatiya Janata Party,1016,0,,,Telangana,KALERU  VENKATESHAM,Telangana Rashtra Samithi
5,36,Andole ,C.DAMODAR RAJANARSIMHA,Indian National Congress,16465,0,,,Telangana,KRANTHI KIRAN CHANTI,Telangana Rashtra Samithi
6,11,Armur,AKULA LALITHA,Indian National Congress,28795,0,,,Telangana,ASHANNAGARI JEEVAN REDDY,Telangana Rashtra Samithi
7,5,Asifabad ,KOVA LAXMI,Telangana Rashtra Samithi,171,0,,,Telangana,ATHRAM SAKKU,Indian National Congress
8,118,Aswaraopeta ,THATI VENKATESWARLU S/O KATTAPPA THATI,Telangana Rashtra Samithi,13117,0,,,Telangana,MECHA NAGESWARA RAO,Telugu Desam
9,69,Bahadurpura,MIR INAYATH ALI BAQRI,Telangana Rashtra Samithi,82518,0,,,Telangana,MOHD. MOAZAM KHAN,All India Majlis-E-Ittehadul Muslimeen
10,19,Balkonda,SUNIL KUMAR MUTHYALA,Bahujan Samaj Party,32408,0,,,Telangana,VEMULA PRASHANTH REDDY,Telangana Rashtra Samithi
11,14,Banswada,KASULA BALARAJU,Indian National Congress,18485,0,,,Telangana,POCHARAM SRINIVAS REDDY (PARIGE),Telangana Rashtra Samithi
12,3,Bellampalli,GADDAM VINOD,Bahujan Samaj Party,11276,0,,,Telangana,DURGAM CHINNAIAH,Telangana Rashtra Samithi
13,119,Bhadrachalam ,TELLAM VENKATA RAO,Telangana Rashtra Samithi,11785,0,,,Telangana,PODEM VEERAIAH,Indian National Congress
14,94,Bhongir,ANIL KUMAR REDDY KUMBAM,Indian National Congress,24063,0,,,Telangana,PAILLA SHEKAR REDDY,Telangana Rashtra Samithi
15,108,Bhupalpalle,GANDRA SATHYANARAYANA RAO(SATHANNA),All India Forward Bloc,15635,0,,,Telangana,GANDRA VENKATA RAMANA REDDY,Indian National Congress
16,8,Boath ,BAPU RAO SOYAM,Indian National Congress,6486,0,,,Telangana,BAPU RAO RATHOD,Telangana Rashtra Samithi
17,12,Bodhan,SUDARSHAN REDDY PODDUTURI,Indian National Congress,8101,0,,,Telangana,SHAKIL AAMIR MOHAMMED,Telangana Rashtra Samithi
18,67,Chandrayangutta ,SHAHEJADI SAYYAD,Bharatiya Janata Party,80264,0,,,Telangana,AKBARUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen
19,66,Charminar ,T UMA MAHENDRA,Bharatiya Janata Party,32586,0,,,Telangana,MUMTAZ AHMED KHAN,All India Majlis-E-Ittehadul Muslimeen
20,2,Chennur ,VENKATESH NETHA BORLAKUNTA,Indian National Congress,28132,0,,,Telangana,BALKA SUMAN,Telangana Rashtra Samithi
21,53,Chevella ,K.S RATNAM,Indian National Congress,33552,0,,,Telangana,KALE YADAIAH,Telangana Rashtra Samithi
22,27,Choppadandi ,MEDIPALLY SATHYAM,Indian National Congress,42127,0,,,Telangana,RAVI SHANKAR SUNKE,Telangana Rashtra Samithi
23,86,Devarakonda ,BALU NAIK NENAVATH,Indian National Congress,38848,0,,,Telangana,RAMAVATH RAVINDRA KUMAR,Telangana Rashtra Samithi
24,76,Devarkadra,PAVAN KUMAR,Indian National Congress,35248,0,,,Telangana,ALLA VENKATESWAR REDDY,Telangana Rashtra Samithi
25,22,Dharmapuri,ADLURI LAXMAN KUMAR,Indian National Congress,441,0,,,Telangana,ESHWAR KOPPULA,Telangana Rashtra Samithi
26,101,Dornakal ,JATOTH RAM CHANDRU NAIK,Indian National Congress,17381,0,,,Telangana,DHARAM SOTH REDYA NAIK,Telangana Rashtra Samithi
27,41,Dubbak,MADDULA NAGESHWAR REDDY,Indian National Congress,62500,0,,,Telangana,SOLIPETA RAMALINGA REDDY,Telangana Rashtra Samithi
28,79,Gadwal,ARUNA D.K,Indian National Congress,28260,0,,,Telangana,BANDLA KRISHNA MOHAN REDDY,Telangana Rashtra Samithi
29,42,Gajwel,VANTERU PRATAP REDDY,Indian National Congress,58290,0,,,Telangana,KALVAKUNTLA CHANDRASHEKAR RAO,Telangana Rashtra Samithi
30,99,Ghanpur (Station),INDIRA SINGAPURAM,Indian National Congress,35790,0,,,Telangana,DR. THATIKONDA RAJAIAH,Telangana Rashtra Samithi
31,65,Goshamahal,PREM SINGH RATHORE,Telangana Rashtra Samithi,17734,0,,,Telangana,T. RAJA SINGH,Bharatiya Janata Party
32,32,Husnabad,CHADHA VENKAT REDDY,Communist Party of India,70530,0,,,Telangana,SATISH KUMAR VODITELA,Telangana Rashtra Samithi
33,31,Huzurabad,KAUSHIK  REDDY PADI,Indian National Congress,43719,0,,,Telangana,EATALA RAJENDAR,Telangana Rashtra Samithi
34,89,Huzurnagar,SANAMPUDI SAIDIREDDY,Telangana Rashtra Samithi,7466,0,,,Telangana,UTTAM KUMAR REDDY NALAMADA,Indian National Congress
35,48,Ibrahimpatnam,MALREDDY RANGA REDDY,Bahujan Samaj Party,376,0,,,Telangana,MANCHIREDDY KISHAN REDDY,Telangana Rashtra Samithi
36,75,Jadcherla,DR. MALLU RAVI,Indian National Congress,45082,0,,,Telangana,CHARLAKOLA LAXMA REDDY,Telangana Rashtra Samithi
37,21,Jagtial ,THATIPARTHI JEEVAN REDDY,Indian National Congress,61185,0,,,Telangana,M.SANJAY KUMAR,Telangana Rashtra Samithi
38,98,Jangoan,LAKSHMAIAH PONNALA,Indian National Congress,29568,0,,,Telangana,MUTHIREDDY YADAGIRI REDDY,Telangana Rashtra Samithi
39,61,Jubilee Hills,P.VISHNUVARDHAN REDDY,Indian National Congress,16004,0,,,Telangana,MAGANTI GOPINATH,Telangana Rashtra Samithi
40,13,Jukkal ,GANGARAM SOUDAGAR,Indian National Congress,35625,0,,,Telangana,HANMANTH SHINDE,Telangana Rashtra Samithi
41,83,Kalwakurthy ,ACHARY TALLOJU,Bharatiya Janata Party,3447,0,,,Telangana,GURKA JAIPAL YADAV,Telangana Rashtra Samithi
42,16,Kamareddy,MOHD. ALI SHABBIR,Indian National Congress,4557,0,,,Telangana,GAMPA GOVARDHAN,Telangana Rashtra Samithi
43,26,Karimnagar ,BANDI SANJAY KUMAR,Bharatiya Janata Party,14974,0,,,Telangana,GANGULA KAMALAKAR,Telangana Rashtra Samithi
44,64,Karwan,AMAR SINGH,Bharatiya Janata Party,50169,0,,,Telangana,KAUSAR MOHIUDDIN,All India Majlis-E-Ittehadul Muslimeen
45,60,Khairatabad,CHINTALA RAMA CHANDRA REDDY,Bharatiya Janata Party,28402,0,,,Telangana,DANAM NAGENDER,Telangana Rashtra Samithi
46,112,Khammam,NAMA NAGESWARA RAO,Telugu Desam,10991,0,,,Telangana,AJAY KUMAR PUVVADA,Telangana Rashtra Samithi
47,6,Khanapur ,RAMESH RATHOD,Indian National Congress,20710,0,,,Telangana,AJMERA REKHA,Telangana Rashtra Samithi
48,90,Kodad,PADMAVATHI REDDY NALAMADA,Indian National Congress,756,0,,,Telangana,BOLLAM MALLAIAH YADAV,Telangana Rashtra Samithi
49,72,Kodangal,ANUMULA REVANTH REDDY,Indian National Congress,9319,0,,,Telangana,PATNAM NARENDER REDDY,Telangana Rashtra Samithi
50,85,Kollapur,JUPALLY KRISHNA RAO,Telangana Rashtra Samithi,12543,0,,,Telangana,BEERAM HARSHAVARDHAN REDDY,Indian National Congress
51,20,Koratla,JUVVADI NARSINGA RAO,Indian National Congress,31220,0,,,Telangana,KALVAKUNTLA VIDYASAGAR RAO,Telangana Rashtra Samithi
52,117,Kothagudem ,JALAGAM VENKAT RAO,Telangana Rashtra Samithi,4139,0,,,Telangana,VANAMA VENKATESWARA RAO,Indian National Congress
53,46,Kukatpally,NANDAMURI VENKATA SUHASINI,Telugu Desam,41049,0,,,Telangana,MADHAVARAM KRISHNA RAO,Telangana Rashtra Samithi
54,49,Lal Bahadur Nagar,MUDDA GOWNI RAM MOHAN GOUD,Telangana Rashtra Samithi,17848,0,,,Telangana,DEVI REDDY SUDHEER REDDY,Indian National Congress
55,114,Madhira ,KAMAL RAJU LINGALA,Telangana Rashtra Samithi,3567,0,,,Telangana,BHATTI VIKRAMARKA MALLU,Indian National Congress
56,102,Mahabubabad ,BALARAM NAIK PORIKA,Indian National Congress,13534,0,,,Telangana,BANOTH SHANKAR NAIK,Telangana Rashtra Samithi
57,74,Mahbubnagar,M. CHANDRA SHEKAR,Telugu Desam,57775,0,,,Telangana,V. SRINIVAS GOUD,Telangana Rashtra Samithi
58,50,Maheshwaram,TEEGALA KRISHNA REDDY,Telangana Rashtra Samithi,9227,0,,,Telangana,PATLOLLA SABITHA INDRA REDDY,Indian National Congress
59,77,Makthal,JALANDER REDDY,Independent,48315,0,,,Telangana,CHITTEM RAMMOHAN REDDY,Telangana Rashtra Samithi
60,58,Malakpet,MOHAMMED MUZAFFAR ALI KHAN,Telugu Desam,23512,0,,,Telangana,AHMED BIN ABDULLAH BALALA,All India Majlis-E-Ittehadul Muslimeen
61,44,Malkajgiri,RAMCHANDER RAO NARAPARAJU,Bharatiya Janata Party,73698,0,,,Telangana,HANUMANTH RAO MYNAMPALLY,Telangana Rashtra Samithi
62,30,Manakondur ,AREPALLY MOHAN,Indian National Congress,31509,0,,,Telangana,BALAKISHAN RASAMAYI,Telangana Rashtra Samithi
63,4,Mancherial,KOKKIRALA PREMSAGAR RAO,Indian National Congress,4848,0,,,Telangana,NADIPELLI DIWAKAR RAO,Telangana Rashtra Samithi
64,24,Manthani,PUTTA MADHUKAR,Telangana Rashtra Samithi,16230,0,,,Telangana,DUDDILLA SRIDHAR BABU,Indian National Congress
65,34,Medak,AMMAREDDY GARI UPENDER REDDY,Indian National Congress,47983,0,,,Telangana,PADMA DEVENDER REDDY. M,Telangana Rashtra Samithi
66,43,Medchal,KICCHANNAGARI LAXMA REDDY,Indian National Congress,87990,0,,,Telangana,CH. MALLA REDDY,Telangana Rashtra Samithi
67,88,Miryalguda,R. KRISHNAIAH,Indian National Congress,30652,0,,,Telangana,NALLAMOTHU BHASKAR RAO,Telangana Rashtra Samithi
68,10,Mudhole,PADAKANTI RAMADEVI,Bharatiya Janata Party,43331,0,,,Telangana,GADDIGARI VITTAL REDDY,Telangana Rashtra Samithi
69,109,Mulug ,AZMEERA CHANDULAL,Telangana Rashtra Samithi,22671,0,,,Telangana,ANASUYA DANSARI,Indian National Congress
70,93,Munugode,KOOSUKUNTLA PRABHAKAR REDDY,Telangana Rashtra Samithi,22552,0,,,Telangana,KOMATIREDDY RAJGOPAL REDDY,Indian National Congress
71,57,Musheerabad,ANIL KUMAR YADAV M,Indian National Congress,36910,0,,,Telangana,MUTA GOPAL,Telangana Rashtra Samithi
72,87,Nagarjuna Sagar,JANA REDDY KUNDURU,Indian National Congress,7771,0,,,Telangana,NOMULA NARSIMHAIAH,Telangana Rashtra Samithi
73,81,Nagarkurnool,DR. JANARDHAN REDDY NAGAM,Indian National Congress,54354,0,,,Telangana,MARRI JANARDHAN REDDY,Telangana Rashtra Samithi
74,95,Nakrekal ,VEMULA VEERESHAM,Telangana Rashtra Samithi,8259,0,,,Telangana,CHIRUMARTHI LINGAIAH,Indian National Congress
75,92,Nalgonda,KOMATI REDDY VENKAT REDDY,Indian National Congress,23698,0,,,Telangana,KANCHARLA BHUPAL REDDY,Telangana Rashtra Samithi
76,63,Nampalli,MOHAMMED FEROZ KHAN,Indian National Congress,9675,0,,,Telangana,JAFFAR HUSSAIN,All India Majlis-E-Ittehadul Muslimeen
77,35,Narayankhed,SURESH KUMAR SHETKAR,Indian National Congress,58508,0,,,Telangana,MAHA REDDY BHUPAL REDDY,Telangana Rashtra Samithi
78,73,Narayanpet,K.SHIVAKUMAR REDDY,Bahujana Left Party,15187,0,,,Telangana,S.RAJENDER REDDY,Telangana Rashtra Samithi
79,103,Narsampet ,DONTHI MADHAVA REDDY,Indian National Congress,16949,0,,,Telangana,PEDDI SUDARSHAN REDDY,Telangana Rashtra Samithi
80,37,Narsapur,VAKITI SUNITHA,Indian National Congress,38320,0,,,Telangana,CHILUMULA MADAN REDDY,Telangana Rashtra Samithi
81,9,Nirmal,ALLETI MAHESHWAR REDDY,Indian National Congress,9271,0,,,Telangana,ALLOLA INDRAKARAN REDDY,Telangana Rashtra Samithi
82,18,Nizamabad (Rural),REKULAPALLY BHOOPATHI REDDY,Indian National Congress,29646,0,,,Telangana,BAJI REDDY GOVERDHAN,Telangana Rashtra Samithi
83,17,Nizamabad (Urban),TAHER BIN HAMDAN,Indian National Congress,25841,0,,,Telangana,BIGALA GANESH,Telangana Rashtra Samithi
84,113,Palair,TUMMALA NAGESWAR RAO,Telangana Rashtra Samithi,7669,0,,,Telangana,KANDALA UPENDER REDDY,Indian National Congress
85,100,Palakurthi,JANGA RAGAVA REDDY,Indian National Congress,53053,0,,,Telangana,ERRABELLI DAYAKAR RAO,Telangana Rashtra Samithi
86,54,PARGI,T. RAM MOHAN REDDY,Indian National Congress,15841,0,,,Telangana,K.MAHESH REDDY,Telangana Rashtra Samithi
87,104,Parkal,KONDA SURAKHA,Indian National Congress,46519,0,,,Telangana,CHALLA. DHARMA REDDY,Telangana Rashtra Samithi
88,40,Patancheru,KATA SRINIVAS GOUD,Indian National Congress,37699,0,,,Telangana,GUDEM MAHIPAL REDDY,Telangana Rashtra Samithi
89,25,Peddapalle,CHINTHAKUNTA VIJAYA RAMANA RAO,Indian National Congress,8466,0,,,Telangana,MANOHAR REDDY DASARI,Telangana Rashtra Samithi
90,110,Pinapaka ,PAYAM VENKATESWARLU,Telangana Rashtra Samithi,19565,0,,,Telangana,KANTHA RAO REGA,Indian National Congress
91,45,Quthbullapur,KUNA SRISAILAM GOUD,Indian National Congress,41500,0,,,Telangana,K.P VIVEKANAND,Telangana Rashtra Samithi
92,51,Rajendranagar,GANESH RENUKUNTLA,Telugu Desam,58373,0,,,Telangana,TOLKANTI PRAKASH GOUD,Telangana Rashtra Samithi
93,23,Ramagundam,SOMARAPU SATYANARAYANA,Telangana Rashtra Samithi,26419,0,,,Telangana,KORUKANTI CHANDAR PATEL,All India Forward Bloc
94,62,Sanath Nagar,KUNA VENKATESH GOUD,Telugu Desam,30651,0,,,Telangana,TALASANI SRINIVAS YADAV,Telangana Rashtra Samithi
95,39,Sangareddy,CHINTA PRABHAKAR,Telangana Rashtra Samithi,2589,0,,,Telangana,TURUPU JAYAPRAKASH REDDY,Indian National Congress
96,116,Sathupalli ,PIDAMARTHI RAVI,Telangana Rashtra Samithi,19002,0,,,Telangana,SANDRA VENKATA VEERAIAH,Telugu Desam
97,70,secunderabad,KASANI GNANESHWAR MUDHIRAJ,Indian National Congress,45470,0,,,Telangana,T.PADMA RAO,Telangana Rashtra Samithi
98,71,Secunderabad Cantt.,SATYANARAYANA SARVEY,Indian National Congress,37563,0,,,Telangana,G. SAYANNA,Telangana Rashtra Samithi
99,52,Serilingampally,V.ANANDA PRASAD,Telugu Desam,44295,0,,,Telangana,AREKAPUDI GANDHI,Telangana Rashtra Samithi
100,84,Shadnagar,CHOWLAPALLY PRATAP REDDY,Indian National Congress,20425,0,,,Telangana,ANJAIAH YELGANAMONI,Telangana Rashtra Samithi
101,33,Siddipet,BHAVANI MARIKANTI,Telangana Jana Samithi,118699,0,,,Telangana,THANNEERU HARISH RAO,Telangana Rashtra Samithi
102,29,Sircilla,KONDAM KARUNA MAHENDER REDDY,Indian National Congress,89009,0,,,Telangana,KALVAKUNTLA TARAKA RAMA RAO,Telangana Rashtra Samithi
103,1,Sirpur,DR. PALVAI HARISH BABU,Indian National Congress,24036,0,,,Telangana,KONERU KONAPPA,Telangana Rashtra Samithi
104,91,Suryapet,DAMODAR REDDY RAM REDDY,Indian National Congress,5967,0,,,Telangana,GUNTAKANDLA JAGADISH REDDY,Telangana Rashtra Samithi
105,56,Tandur,PATNAM MAHENDER REDDY,Telangana Rashtra Samithi,2875,0,,,Telangana,ROHITH REDDY,Indian National Congress
106,96,Thungathurthy ,ADDANKI DAYAKAR,Indian National Congress,1847,0,,,Telangana,GADARI KISHORE KUMAR,Telangana Rashtra Samithi
107,47,Uppal,TULLA VEERENDER GOUD,Telugu Desam,48168,0,,,Telangana,BETHI SUBHAS REDDY,Telangana Rashtra Samithi
108,28,Vemulawada,SRINIVAS AADI,Indian National Congress,28186,0,,,Telangana,RAMESH CHENNAMANENI,Telangana Rashtra Samithi
109,55,Vikarabad,GADDAM PRASAD KUMAR,Indian National Congress,3092,0,,,Telangana,DR. ANAND METHUKU,Telangana Rashtra Samithi
110,78,Wanaparthy,CHINNA REDDY GILLELA,Indian National Congress,51685,0,,,Telangana,SINGIREDDY NIRANJAN REDDY,Telangana Rashtra Samithi
111,106,Warangal East,RAVI CHANDRA VADDIRAJU,Indian National Congress,28782,0,,,Telangana,NARENDAR NANNAPUNENI,Telangana Rashtra Samithi
112,105,Warangal West,REVURI PRAKASH REDDY,Telugu Desam,36451,0,,,Telangana,DASYAM VINAY BHASKER,Telangana Rashtra Samithi
113,107,Wardhanapet ,DEVAIAH PAGIDIPATI,Telangana Jana Samithi,99240,0,,,Telangana,AROORI RAMESH,Telangana Rashtra Samithi
114,115,Wyra ,BANOTH MADAN LAL,Telangana Rashtra Samithi,2013,0,,,Telangana,LAVUDYA RAMULU,Independent
115,68,Yakutpura,SAMA SUNDER REDDY,Telangana Rashtra Samithi,46978,0,,,Telangana,SYED AHMED PASHA QUADRI,All India Majlis-E-Ittehadul Muslimeen
116,111,Yellandu ,KANAKAIAH KORAM,Telangana Rashtra Samithi,2887,0,,,Telangana,HARIPRIYA BANOTH,Indian National Congress
117,15,Yellareddy,EANUGU RAVINDER REDDY,Telangana Rashtra Samithi,35148,0,,,Telangana,JAJALA SURENDER,Indian National Congress
118,38,Zahirabad ,DR. JETTY GEETA,Indian National Congress,34473,0,,,Telangana,KONINTY MANIK RAO,Telangana Rashtra Samithi
